pair,slr,stable,y_ratio_number,half_life_Myr,lambda_Gyr^-1,mean_life_Myr,alpha,nu_eff,beta,t_Gyr,R_mass,R_number,source
26Al/27Al,26Al,27Al,0.003225,0.717,966.7324694002026,1.0344123443173867,1.0,0.4,-0.6,8.0,5.212671572113076e-07,5.413158940271271e-07,single-star (Brad table)
41Ca/40Ca,41Ca,40Ca,0.003872,0.0994,6973.311675653373,0.14340388706436297,1.0,0.4,-0.6,8.0,8.676311766196553e-08,8.464694406045418e-08,single-star (Brad table)
36Cl/35Cl,36Cl,35Cl,0.007791,0.301,2302.8145533552997,0.434251207307578,1.0,0.4,-0.6,8.0,5.286551738689863e-07,5.139703079281811e-07,single-star (Brad table)
60Fe/56Fe,60Fe,56Fe,0.003997,2.62,264.5599925801318,3.7798610071290843,1.0,0.4,-0.6,8.0,2.3607009458541692e-06,2.2033208827972247e-06,single-star (Brad table)
53Mn/55Mn,53Mn,55Mn,2.631,3.8,182.40715277893298,5.482241155378061,1.0,0.4,-0.6,8.0,0.002253752790817626,0.0023388000659428196,single-star (Brad table)
107Pd/108Pd,107Pd,108Pd,0.0796,6.5,106.63802777845312,9.377517765778263,1.0,0.4,-0.6,8.0,0.00011663254668706635,0.00011772257048788004,single-star (Brad table)
182Hf/180Hf,182Hf,180Hf,0.08122,8.896,77.91672443344707,12.83421508374822,1.0,0.4,-0.6,8.0,0.00016287090825589984,0.00016108111805528556,single-star (Brad table)
129I/127I,129I,127I,0.1271,16.14,42.94592196777852,23.285097959947873,1.0,0.4,-0.6,8.0,0.0004623935229078966,0.0004552246310798672,single-star (Brad table)
205Pb/204Pb,205Pb,204Pb,0.3991,17.3,40.06631101502574,24.958624207379067,1.0,0.4,-0.6,8.0,0.0015562765222328597,0.00154868492944148,single-star (Brad table)
92Nb/93Nb,92Nb,93Nb,0.05087,34.7,19.975423070891797,50.06151791884704,1.0,0.4,-0.6,8.0,0.00039782614867851063,0.00040215034594675534,single-star (Brad table)
146Sm/144Sm,146Sm,144Sm,0.02236,103.5,6.69707420830865,149.31893673200773,1.0,0.4,-0.6,8.0,0.000521280031528177,0.0005141392091784759,single-star (Brad table)
135Cs/133Cs,135Cs,133Cs,0.3814,2.3,301.3683393738893,3.3181985940446155,1.0,0.4,-0.6,8.0,0.0001977493486603839,0.00019481972868023005,single-star (Brad table)
97Tc/98Mo,97Tc,98Mo,0.00384,2.6,266.5950694461328,3.751007106311305,1.0,0.4,-0.6,8.0,2.2506614354605567e-06,2.27386413067149e-06,single-star (Brad email)
