slr,stable,yield_ratio_number,half_life_Myr,lambda_Gyr^-1,mean_life_Myr,source
26Al,27Al,0.003225,0.717,966.732,1.03441,single-star (Brad table)
41Ca,40Ca,0.003872,0.0994,6973.31,0.143404,single-star (Brad table)
36Cl,35Cl,0.007791,0.301,2302.81,0.434251,single-star (Brad table)
60Fe,56Fe,0.003997,2.62,264.56,3.77986,single-star (Brad table)
53Mn,55Mn,2.631,3.8,182.407,5.48224,single-star (Brad table)
107Pd,108Pd,0.0796,6.5,106.638,9.37752,single-star (Brad table)
182Hf,180Hf,0.08122,8.896,77.9167,12.8342,single-star (Brad table)
129I,127I,0.1271,16.14,42.9459,23.2851,single-star (Brad table)
205Pb,204Pb,0.3991,17.3,40.0663,24.9586,single-star (Brad table)
92Nb,93Nb,0.05087,34.7,19.9754,50.0615,single-star (Brad table)
146Sm,144Sm,0.02236,103.5,6.69707,149.319,single-star (Brad table)
135Cs,133Cs,0.3814,2.3,301.368,3.3182,single-star (Brad table)
97Tc,98Mo,0.00384,2.6,266.595,3.75101,single-star (Brad email)
